CommitId,RefactoringType,OriginalFile,EvolvedFile,OldCodeElement, newCodeElement
9803046111744317efaa65a83e65ce8ceb0c15c2,PUSH_DOWN_OPERATION,src/org/reptile/Reptile.java,src/org/reptile/TurtleTerrarium.java,"public setAge(age int) : void","public setAge(age int) : void"
a1b3a91d1a423f2b7360e009e47f30aedb663b6f,RENAME_CLASS,src/org/reptile/Turtle.java,src/org/reptile/TurtleMarinha.java,"org.reptile.Turtle","org.reptile.TurtleMarinha"
a1b3a91d1a423f2b7360e009e47f30aedb663b6f,CHANGE_VARIABLE_TYPE,src/org/reptile/Reptile.java,src/org/reptile/Reptile.java,"other : Turtle","other : TurtleMarinha"
a1b3a91d1a423f2b7360e009e47f30aedb663b6f,CHANGE_VARIABLE_TYPE,src/org/reptile/Reptile.java,src/org/reptile/Reptile.java,"N/A","N/A"
a1b3a91d1a423f2b7360e009e47f30aedb663b6f,CHANGE_VARIABLE_TYPE,src/org/reptile/Reptile.java,src/org/reptile/Reptile.java,"N/A","N/A"
a1b3a91d1a423f2b7360e009e47f30aedb663b6f,CHANGE_VARIABLE_TYPE,src/org/reptile/Reptile.java,src/org/reptile/Reptile.java,"N/A","N/A"
a1b3a91d1a423f2b7360e009e47f30aedb663b6f,CHANGE_VARIABLE_TYPE,src/org/reptile/Reptile.java,src/org/reptile/Reptile.java,"N/A","N/A"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,PULL_UP_OPERATION,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"public getAge() : int","public getAge() : int"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,PULL_UP_OPERATION,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"public setAge(age int) : void","public setAge(age int) : void"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,PULL_UP_OPERATION,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"public getName() : int","public getName() : int"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,PULL_UP_OPERATION,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"public setName(name int) : void","public setName(name int) : void"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,PULL_UP_OPERATION,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"public getSpead() : int","public getSpead() : int"
802e21bffe95f0740f44d1a45e3c22adae0ba48c,PULL_UP_OPERATION,src/org/reptile/Turtle.java,src/org/reptile/Reptile.java,"public setSpead(spead int) : void","public setSpead(spead int) : void"
